Rok;Katowice;Chorzów;Częstochowa;Sosnowiec;Bielsko-Biała
1990;366798;131902;257957;259353;181278
1991;366882;131536;258689;259025;184421
1992;359887;128832;259556;251279;179689
1993;359408;127049;259864;250398;180953
1994;355056;126489;259825;248927;180294
1995;351521;125226;259135;247499;180397
1996;350974;123608;258886;246313;180340
1997;348974;123045;258193;244085;179835
1998;345934;121708;257812;244102;180307
1999;333244;119501;254071;235662;178936
2000;330625;118708;253133;234486;178611
2001;328103;117801;251932;233200;178313
2002;327222;116519;250862;231541;177835
2003;322285;115844;249453;229989;177390
2004;319904;115241;248032;228192;176987
2005;317220;114686;246890;226034;176864
2006;314500;113978;245030;224244;176453
2007;312201;113678;242300;222586;175690
2008;309621;113314;240612;221259;175677
2009;308548;113007;239319;219300;175402
2010;311421;111843;237203;216961;174755
2011;310764;111536;236796;215262;174503
2012;307233;111168;234472;213513;174370
2013;304362;110761;232318;211275;173699
2014;301834;110337;230120;209274;173013
2015;299910;109757;228180;207381;172590
2016;298111;109398;226230;205873;172030
2017;296262;109021;224380;204013;171510
2018;294510;108430;222290;202036;171260
2019;292774;107810;220430;199974;170660
2020;290553;104450;213940;194438;169550
2021;286960;103230;210770;191676;168110
2022;280190;101910;208280;189178;166770
;;;;;
